Date,Open,High,Low,Close,Adj Close,Volume
11/12/2014,165.839996,169.600006,165.839996,165.619995,165.619995,0
11/13/2014,166.830002,169.990005,166.830002,166.860001,166.860001,0
11/14/2014,169.929993,171.199997,168.759995,169.800003,169.800003,0
11/17/2014,167.639999,172.25,167.639999,167.699997,167.699997,0
11/18/2014,170.139999,173.149994,170.050003,170.369995,170.369995,0
11/19/2014,170.619995,173.850006,170.550003,173,173,0
11/20/2014,171.350006,176.100006,171.350006,173.710007,173.710007,0
11/21/2014,171.979996,177.050003,171.830002,172.050003,172.050003,0
11/24/2014,175.009995,177,175.009995,177.050003,177.050003,0
11/25/2014,174.779999,177.199997,173.220001,174.669998,174.669998,0
11/26/2014,172.580002,174.339996,172.580002,172.679993,172.679993,0
11/27/2014,173.800003,174.570007,173.800003,173.720001,173.720001,0
11/28/2014,175.029999,178.649994,175.029999,174.800003,174.800003,0
12/1/2014,175.910004,183.899994,175.789993,175.669998,175.669998,0
12/2/2014,180.619995,181.240005,180.619995,183.75,183.75,0
12/3/2014,182.020004,182.020004,179.449997,182.059998,182.059998,0
12/4/2014,180.520004,180.520004,177.729996,179.399994,179.399994,0
12/5/2014,179.610001,180.199997,179.610001,179.800003,179.800003,0
12/8/2014,180.399994,182.449997,180.399994,180,180,0
12/9/2014,180.300003,183.449997,180.300003,182.300003,182.300003,0
12/10/2014,181.660004,181.660004,179.130005,183.300003,183.300003,0
12/11/2014,177.389999,180.350006,177.229996,179.75,179.75,0
12/12/2014,178.770004,179.899994,178.770004,180.399994,180.399994,0
12/15/2014,178.729996,178.729996,176.399994,179.710007,179.710007,0
12/16/2014,176.270004,179.899994,176.270004,179.850006,179.850006,0
12/17/2014,179.399994,182.410004,179.399994,179.699997,179.699997,0
12/18/2014,184.229996,185.149994,184.229996,179.699997,179.699997,0
12/19/2014,178.75,182.100006,178.75,179.800003,179.800003,0
12/22/2014,182.639999,185.649994,182.190002,179.75,179.75,0
12/23/2014,182.740005,185.699997,182.679993,185.399994,185.399994,0
12/24/2014,183.190002,183.190002,179.550003,185.649994,185.649994,0
12/25/2014,183.190002,183.190002,179.550003,185.649994,185.649994,0
12/26/2014,183.190002,183.190002,179.550003,185.649994,185.649994,0
12/29/2014,179.75,182.399994,179.509995,181.800003,181.800003,0
12/30/2014,180.039993,182.300003,180.039993,182.25,182.25,0
12/31/2014,180.740005,182.399994,180.559998,182.25,182.25,0
1/1/2015,181.380005,181.380005,181.380005,182.300003,182.300003,0
1/2/2015,181.869995,182.899994,181.009995,181.380005,181.380005,0
1/5/2015,182.350006,183.399994,181.5,182.699997,182.699997,0
1/6/2015,180.979996,181.949997,180.979996,183.199997,183.199997,0
1/7/2015,182.279999,182.279999,181.350006,183.600006,183.600006,0
1/8/2015,181.270004,181.270004,176.119995,183.550003,183.550003,0
1/9/2015,175.669998,180.419998,175.669998,178.699997,178.699997,0
1/12/2015,179.639999,182,179.639999,178.610001,178.610001,0
1/13/2015,180.039993,180.449997,180.039993,182,182,0
1/14/2015,180.839996,182.899994,180.619995,183.399994,183.399994,0
1/15/2015,180.330002,183,180.330002,183.050003,183.050003,0
1/16/2015,183.270004,186.5,183.270004,185.550003,185.550003,0
1/19/2015,185.970001,185.970001,184.169998,186.600006,186.600006,0
1/20/2015,184.380005,189.199997,184.380005,184.169998,184.169998,0
1/21/2015,186.880005,189.899994,186.880005,188.800003,188.800003,0
1/22/2015,187.419998,190.399994,187.419998,189.850006,189.850006,0
1/23/2015,190.5,190.5,189.699997,190.399994,190.399994,0
1/26/2015,188.630005,188.630005,187.960007,190.600006,190.600006,0
1/27/2015,188.289993,191.199997,188.289993,191,191,0
1/28/2015,188.449997,192.199997,187.119995,191.100006,191.100006,0
1/29/2015,188.309998,192.25,186.539993,192.199997,192.199997,0
1/30/2015,186.979996,187.75,186.979996,189.75,189.75,0
2/2/2015,187.419998,190,186.949997,187.910004,187.910004,0
2/3/2015,186.660004,189.800003,186.660004,189.699997,189.699997,0
2/4/2015,185.020004,190.339996,185.020004,189.649994,189.649994,0
2/5/2015,191.869995,192.5,189.619995,186,186,0
2/6/2015,188.970001,193.899994,188.970001,192.199997,192.199997,0
2/9/2015,193.279999,195.25,192.960007,193.850006,193.850006,0
2/10/2015,192.699997,199.25,192.699997,195.350006,195.350006,0
2/11/2015,196.690002,202.75,196.690002,199.199997,199.199997,0
2/12/2015,201.229996,204,201.229996,203.800003,203.800003,0
2/13/2015,202.320007,204.100006,202.320007,203.899994,203.899994,0
2/16/2015,203.100006,203.100006,199.419998,204,204,0
2/17/2015,200.899994,200.899994,198.649994,199.419998,199.419998,0
2/18/2015,199.399994,199.399994,196.350006,199.350006,199.350006,0
2/19/2015,195.889999,196.389999,195.889999,198.399994,198.399994,0
2/20/2015,196.860001,199.399994,196.110001,197,197,0
2/23/2015,195.350006,200,195.350006,199.449997,199.449997,0
2/24/2015,196.839996,200.399994,196.839996,199.850006,199.850006,0
2/25/2015,197.919998,198.389999,197.919998,200.300003,200.300003,0
2/26/2015,198.080002,201,198.080002,200,200,0
2/27/2015,201.809998,201.809998,201.210007,201,201,0
3/2/2015,202.259995,202.259995,199.350006,200,200,0
3/3/2015,200.119995,200.399994,197.839996,202,202,0
3/4/2015,197.460007,199.600006,197.029999,200.350006,200.350006,0
3/5/2015,197.940002,197.940002,197.229996,199.550003,199.550003,0
3/6/2015,197.759995,199.449997,196.610001,199.399994,199.399994,0
3/9/2015,198.410004,199.399994,196.690002,199.649994,199.649994,0
3/10/2015,197.229996,198.699997,196.529999,199.300003,199.300003,0
3/11/2015,197.25,199.199997,196.610001,198.899994,198.899994,0
3/12/2015,197.610001,197.75,196.75,199.199997,199.199997,0
3/13/2015,197.25,197.25,196.559998,199.25,199.25,0
3/16/2015,197.970001,199,196.699997,199.300003,199.300003,0
3/17/2015,196.139999,199,196.139999,199.050003,199.050003,0
3/18/2015,197.059998,199,196.139999,198.990005,198.990005,0
3/19/2015,190.960007,199,190.960007,198.800003,198.800003,0
3/20/2015,196.929993,199,195.839996,198.899994,198.899994,0
3/23/2015,194.589996,199,194.589996,198.850006,198.850006,0
3/24/2015,195.539993,199,195.539993,198.899994,198.899994,0
3/25/2015,199,199,199,199,199,0
3/26/2015,196.449997,199,196.259995,199,199,0
3/27/2015,198.149994,199,196.190002,199.050003,199.050003,0
3/30/2015,196.240005,199,195.979996,199,199,0
3/31/2015,196.339996,199,196.199997,199,199,0
4/1/2015,196.229996,199.100006,196.229996,196.25,196.25,0
4/2/2015,196.039993,199.100006,196.039993,199.100006,199.100006,0
4/3/2015,195.380005,195.380005,195.380005,195.320007,195.320007,0
4/6/2015,193.259995,199.100006,193.210007,199,199,0
4/7/2015,194.119995,199.050003,194.119995,199.100006,199.100006,0
4/8/2015,196.940002,199,196.320007,199.050003,199.050003,0
4/9/2015,197.850006,199,196.149994,199.050003,199.050003,0
4/10/2015,198.029999,198.949997,196.029999,199.100006,199.100006,0
4/13/2015,195.520004,199,195.520004,198.899994,198.899994,0
4/14/2015,195.300003,198.899994,195.300003,199,199,0
4/15/2015,195.580002,199,195.580002,199,199,0
4/16/2015,193.960007,198.949997,193.960007,198.550003,198.550003,0
4/17/2015,196.350006,198.899994,196.350006,195.259995,195.259995,0
4/20/2015,196.070007,198.899994,196.070007,196.470001,196.470001,0
4/21/2015,195.850006,198.949997,195.850006,198.899994,198.899994,0
4/22/2015,195.160004,199,195.160004,198.899994,198.899994,0
4/23/2015,196.190002,199,196.190002,198.75,198.75,0
4/24/2015,194.940002,199,194.940002,198.800003,198.800003,0
4/27/2015,196.369995,198.899994,196.369995,195.300003,195.300003,0
4/28/2015,195.690002,198.949997,195.690002,198.850006,198.850006,0
4/29/2015,195.690002,198.899994,195.690002,198.800003,198.800003,0
4/30/2015,194.179993,198.899994,194.179993,198.850006,198.850006,0
5/1/2015,195.070007,198.100006,194.889999,198.899994,198.899994,0
5/4/2015,195.449997,199.399994,195.449997,198.25,198.25,0
5/5/2015,196.080002,198.949997,196.080002,198.949997,198.949997,0
5/6/2015,195.309998,199,195.309998,198.949997,198.949997,0
5/7/2015,194.460007,199,194.460007,198.899994,198.899994,0
5/8/2015,198.100006,198.899994,196.25,198.949997,198.949997,0
5/11/2015,196.619995,200,196.25,198.899994,198.899994,0
5/12/2015,196.520004,199,196.490005,200,200,0
5/13/2015,197.020004,198.899994,196.350006,199.050003,199.050003,0
